
Discussion :

{Enter your intriguing discussion (explaining observations/results) here}



----------Evaluation START----------

### Evaluating AM model: AM_1000 ### 

BLEU scores with N-gram (n) = 1: 	0.3529	0.4444	0.5385	0.3571	0.5385	0.5000	0.3077	0.5000	0.6250	0.3000	0.5385	0.3571	0.4000	0.5000	0.4617	0.4600	0.6000	0.5493	0.3846	0.5429	0.6250	0.5455	0.5000	0.5000	0.3750
BLEU scores with N-gram (n) = 2: 	0.1485	0.2357	0.2996	0.1657	0.2996	0.4082	0.1601	0.3780	0.2988	0.0000	0.3669	0.2344	0.2108	0.3835	0.3146	0.2774	0.4472	0.4502	0.1790	0.3304	0.4226	0.4045	0.3397	0.3835	0.2315
BLEU scores with N-gram (n) = 3: 	0.0000	0.0000	0.0000	0.0000	0.0000	0.3467	0.0000	0.0000	0.0000	0.0000	0.2304	0.0000	0.0000	0.2639	0.1976	0.0000	0.2924	0.3563	0.0000	0.0000	0.0000	0.0000	0.2126	0.2639	0.0000


### Evaluating AM model: AM_10000 ### 

BLEU scores with N-gram (n) = 1: 	0.3529	0.4444	0.5385	0.5000	0.4615	0.6000	0.4615	0.6250	0.5000	0.5000	0.6154	0.4286	0.5000	0.5000	0.5276	0.4600	0.5000	0.5493	0.3846	0.6334	0.7500	0.7273	0.5000	0.3889	0.3750
BLEU scores with N-gram (n) = 2: 	0.1485	0.2357	0.2996	0.1961	0.1961	0.4472	0.1961	0.5175	0.0000	0.2357	0.3922	0.2568	0.2357	0.2970	0.3363	0.3397	0.3333	0.3805	0.1790	0.4371	0.5669	0.5394	0.3397	0.2139	0.2315
BLEU scores with N-gram (n) = 3: 	0.0000	0.0000	0.0000	0.0000	0.0000	0.3684	0.0000	0.3547	0.0000	0.0000	0.2409	0.0000	0.0000	0.1767	0.2066	0.0000	0.2404	0.2006	0.0000	0.2785	0.3770	0.3185	0.2126	0.0000	0.0000


### Evaluating AM model: AM_15000 ### 

BLEU scores with N-gram (n) = 1: 	0.4118	0.4444	0.5385	0.5000	0.3846	0.6000	0.4615	0.6250	0.3750	0.5000	0.6154	0.3571	0.5000	0.5000	0.5276	0.4600	0.4000	0.4993	0.3077	0.5429	0.7500	0.6364	0.5000	0.4444	0.3750
BLEU scores with N-gram (n) = 2: 	0.1604	0.2357	0.2996	0.1961	0.1790	0.4472	0.1961	0.5175	0.0000	0.3333	0.3922	0.2344	0.2357	0.2970	0.3363	0.3397	0.2981	0.3245	0.1601	0.3304	0.5669	0.5045	0.3397	0.2801	0.2315
BLEU scores with N-gram (n) = 3: 	0.0000	0.0000	0.0000	0.0000	0.0000	0.3684	0.0000	0.3547	0.0000	0.0000	0.2409	0.0000	0.0000	0.1767	0.2066	0.2198	0.2231	0.0000	0.0000	0.0000	0.3770	0.3047	0.2126	0.1699	0.0000


### Evaluating AM model: AM_30000 ### 

BLEU scores with N-gram (n) = 1: 	0.4118	0.4444	0.5385	0.5000	0.4615	0.6000	0.5385	0.6250	0.3750	0.5000	0.6154	0.4286	0.5000	0.5000	0.4617	0.4600	0.4000	0.5493	0.2308	0.5429	0.7500	0.7273	0.5000	0.4444	0.3750
BLEU scores with N-gram (n) = 2: 	0.1604	0.2357	0.2996	0.1961	0.1961	0.4472	0.2118	0.5175	0.0000	0.2357	0.3922	0.2568	0.2357	0.2970	0.3146	0.3397	0.2981	0.3403	0.1387	0.3304	0.5669	0.6030	0.3397	0.2801	0.2315
BLEU scores with N-gram (n) = 3: 	0.0000	0.0000	0.0000	0.0000	0.0000	0.3684	0.0000	0.3547	0.0000	0.0000	0.2409	0.0000	0.0000	0.1767	0.1976	0.2198	0.2231	0.0000	0.0000	0.0000	0.3770	0.4323	0.2126	0.1699	0.0000

----------Evaluation END----------
